"","playerID","Full_name","position","Bats","Throws"
"8058","hjellse01","Sean Anthony Hjelle","Pitcher","Right","Right"
"8059","hoagmy01","Myrill Oliver Hoag","Outfielder","Right","Right"
"8060","hoakdo01","Donald Albert Hoak","Third Baseman","Right","Right"
"8061","hobaued01","Edward Russell Hobaugh","Pitcher","Right","Right"
"8062","hobbigl01","Glen Frederick Hobbie","Pitcher","Right","Right"
"8063","hobbsbi01","William Lee Hobbs","Shortstop, Second Baseman and Third Baseman","Right","Right"
"8064","hobbsjo01","John Douglas Hobbs","Pitcher","Right","Left"
"8065","hoblidi01","Richard Carleton Hoblitzell","First Baseman","Left","Right"
"8066","hobsobu01","Clell Lavern Hobson","Third Baseman","Right","Right"
"8067","hochelu01","Luke Anthony Hochevar","Pitcher","Right","Right"
"8068","hochha01","Harry Keller Hoch","Pitcher","Right","Right"
"8069","hockech01","Charles Marion Hockenbery","Pitcher","Both","Right"
"8070","hocked01","Edward Francis Hock","Pinch Runner and Outfielder","Left","Right"
"8071","hockege01","George Edward Hockette","Pitcher","Left","Left"
"8072","hockeor01","Oris Leon Hockett","Outfielder","Left","Right"
"8073","hockide01","Dennis Lee Hocking","Second Baseman, Shortstop and Outfielder","Both","Right"
"8074","hodapjo01","Urban John Hodapp","Second Baseman, Third Baseman and Leftfielder","Right","Right"
"8075","hoderme01","Melvin Anthony Hoderlein","Second Baseman, Pinch Hitter and Shortstop","Both","Right"
"8076","hodesch01","Charles Hodes","Catcher, Centerfielder and Third Baseman","Unknown","Right"
"8077","hodgebe01","Edward Burton Hodges","Pinch Hitter and Third Baseman","Left","Right"
"8078","hodgeed01","Ed Oliver Hodge","Pitcher","Left","Left"
"8079","hodgegi01","Gilbert Ray Hodges","First Baseman and Outfielder","Right","Right"
"8080","hodgego01","Harold Morris Hodge","Pinch Hitter, First Baseman and Third Baseman","Both","Right"
"8081","hodgeke01","Kevin Jon Hodges","Pitcher","Right","Right"
"8082","hodgero01","Ronald Wray Hodges","Catcher and Pinch Hitter","Left","Right"
"8083","hodgesh01","Clarence Clemet Hodge","Pitcher","Left","Right"
"8084","hodgetr01","Trey Alan Hodges","Pitcher","Right","Right"
"8085","hodgira01","Elmer Ralph Hodgin","Outfielder and Third Baseman","Left","Right"
"8086","hodgspa01","Paul Joseph Denis Hodgson","Leftfielder and Pinch Runner","Right","Right"
"8087","hodkeel01","Aloysius Joseph Hodkey","Pitcher","Left","Left"
"8088","hodsoge01","George S. Hodson","Pitcher","Right","Right"
"8089","hoeftbi01","William Frederick Hoeft","Pitcher","Left","Left"
"8090","hoeinbr01","Bryan Jerome Hoeing","Pitcher","Right","Right"
"8091","hoelsar01","Arthur William Hoelskoetter","Second Baseman, Third Baseman and Catcher","Right","Right"
"8092","hoernjo01","Joseph Walter Hoerner","Pitcher","Right","Left"
"8093","hoernni01","Nicholas Mackie Hoerner","Second Baseman and Shortstop","Right","Right"
"8094","hoersle01","Frank Joseph Hoerst","Pitcher","Left","Left"
"8095","hoeslj01","Jerome O'Bryan Hoes","Outfielder","Right","Right"
"8096","hoeyja01","John Bernard Hoey","Leftfielder","Left","Left"
"8097","hoeyja02","James Urban Hoey","Pitcher","Right","Right"
"8098","hoffebi01","William Leopold Hoffer","Pitcher and Leftfielder","Right","Right"
"8099","hoffest01","Stewart Edward Hofferth","Catcher","Right","Right"
"8100","hoffmbi01","William Joseph Hoffman","Pitcher","Left","Left"
"8101","hoffmda01","Daniel John Hoffman","Centerfielder","Left","Left"
"8102","hoffmdu01","Clarence Casper Hoffman","Centerfielder","Right","Right"
"8103","hoffmgl01","Glenn Edward Hoffman","Shortstop and Third Baseman","Right","Right"
"8104","hoffmgu01","Guy Alan Hoffman","Pitcher","Left","Left"
"8105","hoffmhi01","William A. Hoffman","Catcher and Rightfielder","Unknown","Unknown"
"8106","hoffmiz01","Harry Camp Hoffman","Outfielder","Left","Left"
"8107","hoffmja01","Jamie Richard Hoffmann","Pinch Hitter and Rightfielder","Right","Right"
"8108","hoffmje01","Jesse H. Hoffmeister","Third Baseman","Unknown","Right"
"8109","hoffmje02","Jeffrey Robert Hoffman","Pitcher","Right","Right"
"8110","hoffmjo01","John Edward Hoffman","Catcher","Left","Right"
"8111","hoffmla01","Lawrence Charles Hoffman","Third Baseman and Second Baseman","Right","Right"
"8112","hoffmra01","Raymond Lamont Hoffman","Third Baseman","Left","Right"
"8113","hoffmte01","Edward Adolph Hoffman","Pinch Hitter and Third Baseman","Left","Right"
"8114","hoffmtr01","Trevor William Hoffman","Pitcher","Right","Right"
"8115","hoffpja01","Jarrett Lee Hoffpauir","Third Baseman, Second Baseman and Pinch Hitter","Right","Right"
"8116","hoffpmi01","James Micah Hoffpauir","Pinch Hitter, Outfielder and First Baseman","Left","Left"
"8117","hoffre01","Chester Cornelius Hoff","Pitcher","Left","Left"
"8118","hofmabo01","Robert George Hofman","Pinch Hitter, Second Baseman and First Baseman","Right","Right"
"8119","hofmafr01","Fred Hofmann","Catcher","Right","Right"
"8120","hofmaso01","Arthur Frederick Hofman","Centerfielder, Second Baseman and First Baseman","Right","Right"
"8121","hoganha01","Malachi Sylvanus Hogan","Rightfielder","Unknown","Unknown"
"8122","hoganke01","Kenneth Timothy Hogan","Pinch Runner and Centerfielder","Left","Right"
"8123","hoganma01","Martin F. Hogan","Rightfielder","Right","Right"
"8124","hogansh01","James Francis Hogan","Catcher","Right","Right"
"8125","hoganwi01","William Henry Hogan","Leftfielder","Right","Right"
"8126","hoggbe01","Wilbert George Hogg","Pinch Runner and Third Baseman","Right","Right"
"8127","hoggbi01","William Johnston Hogg","Pitcher","Right","Right"
"8128","hoggbr01","Carter Bradley Hogg","Pitcher","Right","Right"
"8129","hogrige01","George C. Hogreiver","Outfielder","Right","Right"
"8130","hogsech01","Elon Chester Hogsett","Pitcher","Left","Left"
"8131","hoguebo01","Robert Clinton Hogue","Pitcher","Right","Right"
"8132","hogueca01","Calvin Grey Hogue","Pitcher","Right","Right"
"8133","hohmabi01","William Henry Hohman","Leftfielder","Right","Right"
"8134","hohnhed01","Edward Hicks Hohnhorst","First Baseman","Left","Left"
"8135","hoilech01","Christopher Allen Hoiles","Catcher","Right","Right"
"8136","holadbr01","John Bryan Holaday","Catcher","Right","Right"
"8137","holbeaa01","Aaron Keith Holbert","Pinch Hitter, Second Baseman and First Baseman","Right","Right"
"8138","holbebi01","William Henry Holbert","Catcher and Outfielder","Right","Right"
"8139","holbera01","Ray Arthur Holbert","Shortstop and Second Baseman","Right","Right"
"8140","holbowa01","Walter Albert Holborow","Pitcher","Right","Right"
"8141","holbrsa01","James Marbury Holbrook","Catcher","Right","Right"
"8142","holcoke01","Kenneth Edward Holcombe","Pitcher","Right","Right"
"8143","holdebi01","William Paul Holden","Centerfielder","Right","Right"
"8144","holdeco01","Colin Scott Holderman","Pitcher","Right","Right"
"8145","holdejo01","Joseph Francis Holden","Catcher and Pinch Hitter","Left","Right"
"8146","holdejo02","Jonathan Blake Holder","Pitcher","Right","Right"
"8147","holdrda01","David Allen Holdridge","Pitcher","Right","Right"
"8148","holdsfr01","Frederick William Holdsworth","Pitcher","Right","Right"
"8149","holdsji01","James Holdsworth","Centerfielder, Shortstop and Third Baseman","Right","Right"
"8150","holdzjo01","John Stephen Holdzkom","Pitcher","Right","Right"
"8151","holkewa01","Walter Henry Holke","First Baseman","Both","Left"
"8152","hollaal01","Alfred Willis Holland","Pitcher","Right","Left"
"8153","hollabi01","William James Hollahan","Third Baseman and Second Baseman","Right","Right"
"8154","hollabi02","William David Holland","Pitcher","Left","Left"
"8155","hollade01","Derek Lane Holland","Pitcher","Both","Left"
"8156","holladu01","Robert Clyde Holland","Leftfielder and Pinch Hitter","Right","Right"
"8157","hollagr01","Gregory Scott Holland","Pitcher","Right","Right"
"8158","hollama01","Mario Eduardo Lemus Hollands","Pitcher","Left","Left"
"8159","hollamu01","Howard Arthur Holland","Pitcher","Right","Right"
"8160","hollato01","Todd Mathew Hollandsworth","Outfielder","Left","Left"
"8161","holleed01","Edward Edgar Holley","Pitcher","Right","Right"
"8162","hollega01","Gary Charles Holle","Pinch Hitter and First Baseman","Right","Left"
"8163","hollial01","Albert Wayne Hollingsworth","Pitcher","Left","Left"
"8164","hollibo01","John Burnette Hollingsworth","Pitcher","Right","Right"
"8165","hollibu01","James Wear Holliday","Outfielder","Right","Right"
"8166","hollica01","Carl Theodore Holling","Pitcher","Right","Right"
"8167","hollida01","David Michael Hollins","Third Baseman and First Baseman","Both","Right"
"8168","hollida02","Damon Jamall Hollins","Outfielder","Right","Left"
"8169","holliho01","John Samuel Hollingshead","Centerfielder and Second Baseman","Unknown","Unknown"
"8170","hollije01","Jessie Edward Hollins","Pitcher","Right","Right"
"8171","hollijo01","John Henry Hollison","Pitcher","Right","Left"
"8172","hollima01","Matthew Thomas Holliday","Leftfielder","Right","Right"
"8173","hollimi01","Michael Travis Hollimon","Shortstop, Pinch Runner and Second Baseman","Both","Right"
"8174","hollmst01","Stanley Ernest Hollmig","Rightfielder and Pinch Hitter","Right","Right"
"8175","hollobo01","Alva Lee Holloman","Pitcher","Right","Right"
"8176","holloch01","Charles Jacob Hollocher","Shortstop","Left","Right"
"8177","holloga01","Gavin Ernest Hollowell","Pitcher","Right","Right"
"8178","holloji01","James Madison Holloway","Pitcher","Right","Right"
"8179","hollojo01","Jordan Lee Holloway","Pitcher","Right","Right"
"8180","holloke01","Kenneth Eugene Holloway","Pitcher","Right","Right"
"8181","hollyed01","Edward William Holly","Shortstop","Right","Right"
"8182","hollyje01","Jeffrey Owen Holly","Pitcher","Left","Left"
"8183","holmabr01","Brian Scott Holman","Pitcher","Right","Right"
"8184","holmabr02","Bradley Thomas Holman","Pitcher","Right","Right"
"8185","holmaga01","Gary Richard Holman","Pinch Hitter, First Baseman and Rightfielder","Left","Left"
"8186","holmasc01","Randy Scott Holman","Pitcher","Right","Right"
"8187","holmash01","Shawn Leroy Holman","Pitcher","Right","Right"
"8188","holmbda01","David Andrew Holmberg","Pitcher","Right","Left"
"8189","holmbi01","William Frederick Holm","Catcher","Right","Right"
"8190","holmech01","Elwood Marter Holmes","Pitcher","Unknown","Right"
"8191","holmecl01","Clayton Walter Holmes","Pitcher","Right","Right"
"8192","holmeda01","Darren Lee Holmes","Pitcher","Right","Right"
"8193","holmedu01","James William Holmes","Outfielder","Left","Right"
"8194","holmedu02","Howard Elbert Holmes","Catcher","Right","Right"
"8195","holmefr01","Frederick Clarence Holmes","First Baseman and Catcher","Right","Right"
"8196","holmeji01","James Scott Holmes","Pitcher","Unknown","Unknown"
"8197","holmeto01","Thomas Francis Holmes","Outfielder","Left","Left"
"8198","holmst01","Stephen Robert Holm","Catcher","Right","Right"
"8199","holmwa01","Roscoe Albert Holm","Outfielder and Third Baseman","Right","Right"
"8200","holshhe01","Herman Alexander Holshouser","Pitcher","Right","Right"
"8201","holtbr01","Brock Wyatt Holt","Second Baseman, Third Baseman and Outfielder","Left","Right"
"8202","holtch01","Christopher Michael Holt","Pitcher","Right","Right"
"8203","holtgve01","Lavern George Holtgrave","Pitcher","Right","Right"
"8204","holtji01","James William Holt","Outfielder and First Baseman","Left","Right"
"8205","holtobr01","Brian John Holton","Pitcher","Right","Right"
"8206","holtoty01","Weston Tyler Holton","Pitcher","Left","Left"
"8207","holtre01","James Emmett Madison Holt","First Baseman","Left","Left"
"8208","holtro01","Roger Boyd Holt","Second Baseman","Both","Right"
"8209","holtty01","Tyler Andrew Holt","Outfielder and Pinch Hitter","Right","Right"
"8210","holtzke01","Kenneth Dale Holtzman","Pitcher","Right","Left"
"8211","holtzmi01","Michael James Holtz","Pitcher","Left","Left"
"8212","holzema01","Mark Harold Holzemer","Pitcher","Left","Left"
"8213","honanma01","Martin Weldon Honan","Catcher","Unknown","Unknown"
"8214","honeybr01","Brent Lee Honeywell","Pitcher","Right","Right"
"8215","honeyri01","Frederick Wayne Honeycutt","Pitcher","Left","Left"
"8216","hoodab01","Albie Larrison Hood","Second Baseman","Left","Right"
"8217","hoodde01","Destin Dwane Hood","Leftfielder and Pinch Hitter","Right","Right"
"8218","hooddo01","Donald Harris Hood","Pitcher","Left","Left"
"8219","hoodwa01","Wallace James Hood","Pinch Hitter, Outfielder and Pinch Runner","Right","Right"
"8220","hoodwa02","Wallace James Hood","Pitcher","Right","Right"
"8221","hookch01","Christopher Wayne Hook","Pitcher","Right","Right"
"8222","hookebu01","William Edward Hooker","Pitcher","Right","Right"
"8223","hookja01","James Wesley Hook","Pitcher","Left","Right"
"8224","hooksal01","Alexander Marcus Hooks","First Baseman and Pinch Hitter","Left","Left"
"8225","hoopebo01","Robert Nelson Hooper","Pitcher","Right","Right"
"8226","hoopeha01","Harry Bartholomew Hooper","Rightfielder","Left","Right"
"8227","hoopeke01","Kevin James Hooper","Pinch Hitter, Second Baseman and Leftfielder","Right","Right"
"8228","hoopemi01","Michael H. Hooper","Leftfielder and Catcher","Unknown","Unknown"
"8229","hootele01","Michael Leon Hooten","Pitcher","Right","Right"
"8230","hootobu01","Burt Carlton Hooton","Pitcher","Right","Right"
"8231","hoovebu01","William James Hoover","Outfielder, Shortstop and First Baseman","Right","Right"
"8232","hoovedi01","Richard Lloyd Hoover","Pitcher","Left","Left"
"8233","hoovejj01","James Allen Hoover","Pitcher","Right","Right"
"8234","hoovejo01","Robert Joseph Hoover","Shortstop","Right","Right"
"8235","hoovejo02","John Nicklaus Hoover","Pitcher","Right","Right"
"8236","hoovepa01","Paul Chester Hoover","Catcher","Right","Right"
"8237","hopejo01","John Alan Hope","Pitcher","Right","Right"
"8238","hopesa01","Samuel Everett Hope","Pitcher","Right","Right"
"8239","hopkibu01","John Winton Hopkins","Centerfielder","Left","Left"
"8240","hopkido01","Donald Hopkins","Pinch Runner and Outfielder","Left","Right"
"8241","hopkiga01","Gail Eason Hopkins","First Baseman and Pinch Hitter","Left","Right"
"8242","hopkima01","Meredith Hilliard Hopkins","Third Baseman and Second Baseman","Right","Right"
"8243","hopkimi01","Michael Joseph Hopkins","Catcher","Right","Right"
